Date,diarreia,dor no corpo,fadiga,irritacao sobre a pele,mal estar
2006-12-10,12.0,13.0,12.0,0.0,23.0
2006-12-17,13.0,13.0,0.0,0.0,26.0
2006-12-24,16.0,16.0,0.0,0.0,0.0
2006-12-31,0.0,0.0,0.0,0.0,0.0
2007-01-07,0.0,0.0,44.0,0.0,0.0
2007-01-14,0.0,0.0,44.0,0.0,0.0
2007-01-21,44.0,0.0,44.0,0.0,22.0
2007-01-28,21.0,0.0,21.0,0.0,21.0
2007-02-04,21.0,0.0,41.0,0.0,21.0
2007-02-11,21.0,0.0,47.0,0.0,21.0
2007-02-18,50.0,0.0,53.0,0.0,19.0
2007-02-25,58.0,0.0,58.0,0.0,19.0
2007-03-04,19.0,0.0,19.0,0.0,39.0
2007-03-11,56.0,0.0,19.0,0.0,37.0
2007-03-18,37.0,0.0,37.0,0.0,37.0
2007-03-25,18.0,18.0,18.0,0.0,18.0
2007-04-01,20.0,0.0,20.0,0.0,18.0
2007-04-08,18.0,0.0,54.0,0.0,18.0
2007-04-15,35.0,0.0,17.0,0.0,35.0
2007-04-22,34.0,0.0,17.0,0.0,17.0
2007-04-29,37.0,0.0,19.0,0.0,0.0
2007-05-06,32.0,16.0,48.0,0.0,0.0
2007-05-13,46.0,15.0,46.0,0.0,0.0
2007-05-20,53.0,15.0,15.0,0.0,0.0
2007-05-27,59.0,15.0,15.0,0.0,0.0
2007-06-03,17.0,15.0,34.0,0.0,17.0
2007-06-10,15.0,15.0,17.0,0.0,31.0
2007-06-17,34.0,0.0,17.0,0.0,17.0
2007-06-24,44.0,0.0,15.0,0.0,15.0
2007-07-01,47.0,0.0,16.0,0.0,15.0
2007-07-08,33.0,0.0,15.0,0.0,15.0
2007-07-15,31.0,0.0,15.0,0.0,15.0
2007-07-22,15.0,0.0,15.0,0.0,15.0
2007-07-29,19.0,15.0,30.0,0.0,15.0
2007-08-05,24.0,14.0,28.0,0.0,14.0
2007-08-12,28.0,14.0,28.0,0.0,14.0
2007-08-19,26.0,13.0,33.0,0.0,13.0
2007-08-26,13.0,26.0,39.0,0.0,13.0
2007-09-02,20.0,13.0,15.0,0.0,13.0
2007-09-09,26.0,13.0,53.0,0.0,13.0
2007-09-16,26.0,13.0,26.0,0.0,13.0
2007-09-23,26.0,13.0,26.0,0.0,13.0
2007-09-30,79.0,14.0,53.0,0.0,13.0
2007-10-07,73.0,15.0,58.0,0.0,13.0
2007-10-14,66.0,13.0,26.0,0.0,13.0
2007-10-21,38.0,13.0,13.0,0.0,13.0
2007-10-28,12.0,13.0,27.0,0.0,13.0
2007-11-04,12.0,12.0,32.0,0.0,12.0
2007-11-11,12.0,12.0,37.0,0.0,12.0
2007-11-18,13.0,12.0,13.0,0.0,17.0
2007-11-25,12.0,13.0,24.0,0.0,21.0
2007-12-02,76.0,13.0,13.0,0.0,25.0
2007-12-09,26.0,13.0,15.0,0.0,38.0
2007-12-16,14.0,16.0,17.0,0.0,25.0
2007-12-23,19.0,19.0,19.0,0.0,25.0
2007-12-30,53.0,21.0,13.0,0.0,25.0
2008-01-06,40.0,23.0,13.0,0.0,25.0
2008-01-13,25.0,25.0,13.0,0.0,25.0
2008-01-20,64.0,13.0,13.0,0.0,24.0
2008-01-27,37.0,11.0,21.0,0.0,24.0
2008-02-03,29.0,11.0,29.0,0.0,24.0
2008-02-10,48.0,11.0,36.0,0.0,24.0
2008-02-17,82.0,11.0,23.0,0.0,12.0
2008-02-24,34.0,11.0,23.0,0.0,34.0
2008-03-02,12.0,12.0,35.0,0.0,12.0
2008-03-09,11.0,11.0,11.0,0.0,11.0
2008-03-16,12.0,25.0,12.0,0.0,17.0
2008-03-23,33.0,22.0,33.0,0.0,22.0
2008-03-30,33.0,11.0,11.0,0.0,11.0
2008-04-06,33.0,11.0,33.0,0.0,11.0
2008-04-13,33.0,11.0,55.0,0.0,11.0
2008-04-20,23.0,12.0,12.0,0.0,23.0
2008-04-27,47.0,11.0,11.0,0.0,12.0
2008-05-04,79.0,11.0,11.0,0.0,11.0
2008-05-11,22.0,11.0,11.0,0.0,11.0
2008-05-18,48.0,12.0,16.0,0.0,11.0
2008-05-25,32.0,11.0,21.0,0.0,11.0
2008-06-01,74.0,11.0,11.0,0.0,11.0
2008-06-08,22.0,11.0,14.0,0.0,11.0
2008-06-15,44.0,11.0,18.0,0.0,22.0
2008-06-22,33.0,11.0,22.0,0.0,22.0
2008-06-29,12.0,11.0,11.0,0.0,22.0
2008-07-06,36.0,11.0,11.0,0.0,23.0
2008-07-13,11.0,11.0,11.0,0.0,23.0
2008-07-20,11.0,11.0,22.0,0.0,11.0
2008-07-27,55.0,33.0,11.0,0.0,11.0
2008-08-03,85.0,11.0,16.0,0.0,11.0
2008-08-10,43.0,11.0,21.0,0.0,21.0
2008-08-17,21.0,15.0,51.0,0.0,21.0
2008-08-24,20.0,20.0,10.0,0.0,10.0
2008-08-31,31.0,10.0,62.0,0.0,10.0
2008-09-07,50.0,10.0,20.0,0.0,10.0
2008-09-14,30.0,10.0,10.0,0.0,10.0
2008-09-21,30.0,10.0,10.0,0.0,10.0
2008-09-28,40.0,10.0,20.0,0.0,10.0
2008-10-05,19.0,0.0,30.0,0.0,10.0
2008-10-12,30.0,0.0,39.0,0.0,20.0
2008-10-19,30.0,0.0,49.0,0.0,9.0
2008-10-26,52.0,0.0,26.0,0.0,9.0
2008-11-02,41.0,0.0,10.0,0.0,21.0
2008-11-09,10.0,0.0,29.0,0.0,10.0
2008-11-16,20.0,0.0,10.0,0.0,10.0
2008-11-23,20.0,0.0,10.0,0.0,20.0
2008-11-30,30.0,0.0,10.0,0.0,0.0
2008-12-07,41.0,10.0,21.0,0.0,0.0
2008-12-14,32.0,11.0,21.0,0.0,0.0
2008-12-21,29.0,15.0,15.0,0.0,0.0
2008-12-28,46.0,10.0,10.0,0.0,0.0
2009-01-04,31.0,10.0,10.0,0.0,0.0
2009-01-11,60.0,20.0,20.0,0.0,10.0
2009-01-18,39.0,20.0,10.0,0.0,10.0
2009-01-25,19.0,19.0,9.0,0.0,10.0
2009-02-01,58.0,19.0,29.0,0.0,10.0
2009-02-08,75.0,10.0,19.0,0.0,28.0
2009-02-15,58.0,10.0,29.0,0.0,12.0
2009-02-22,35.0,9.0,12.0,0.0,12.0
2009-03-01,56.0,9.0,19.0,0.0,15.0
2009-03-08,18.0,9.0,18.0,0.0,18.0
2009-03-15,17.0,9.0,39.0,0.0,35.0
2009-03-22,34.0,9.0,60.0,0.0,17.0
2009-03-29,69.0,9.0,35.0,0.0,26.0
2009-04-05,78.0,9.0,19.0,0.0,9.0
2009-04-12,9.0,9.0,27.0,0.0,9.0
2009-04-19,37.0,8.0,27.0,0.0,15.0
2009-04-26,54.0,8.0,27.0,0.0,20.0
2009-05-03,43.0,8.0,8.0,0.0,26.0
2009-05-10,17.0,8.0,8.0,0.0,8.0
2009-05-17,51.0,8.0,25.0,0.0,8.0
2009-05-24,41.0,24.0,16.0,0.0,8.0
2009-05-31,67.0,8.0,8.0,0.0,8.0
2009-06-07,55.0,8.0,9.0,0.0,13.0
2009-06-14,25.0,8.0,8.0,0.0,17.0
2009-06-21,57.0,8.0,32.0,0.0,16.0
2009-06-28,25.0,13.0,9.0,0.0,17.0
2009-07-05,27.0,18.0,9.0,0.0,18.0
2009-07-12,43.0,34.0,9.0,0.0,17.0
2009-07-19,59.0,8.0,11.0,0.0,8.0
2009-07-26,58.0,8.0,14.0,0.0,12.0
2009-08-02,50.0,41.0,17.0,0.0,17.0
2009-08-09,82.0,24.0,8.0,0.0,8.0
2009-08-16,56.0,24.0,16.0,0.0,8.0
2009-08-23,71.0,24.0,32.0,0.0,8.0
2009-08-30,73.0,15.0,24.0,0.0,12.0
2009-09-06,17.0,15.0,33.0,0.0,17.0
2009-09-13,31.0,15.0,54.0,0.0,24.0
2009-09-20,47.0,8.0,23.0,0.0,31.0
2009-09-27,25.0,8.0,8.0,0.0,17.0
2009-10-04,66.0,13.0,25.0,0.0,16.0
2009-10-11,63.0,18.0,9.0,0.0,18.0
2009-10-18,100.0,16.0,13.0,0.0,25.0
2009-10-25,82.0,16.0,16.0,0.0,18.0
2009-11-01,72.0,18.0,17.0,0.0,18.0
2009-11-08,67.0,8.0,17.0,0.0,33.0
2009-11-15,44.0,9.0,17.0,0.0,26.0
2009-11-22,57.0,11.0,24.0,0.0,8.0
2009-11-29,58.0,14.0,8.0,0.0,8.0
2009-12-06,68.0,17.0,17.0,0.0,8.0
2009-12-13,69.0,9.0,28.0,0.0,10.0
2009-12-20,35.0,0.0,38.0,0.0,12.0
2009-12-27,37.0,0.0,49.0,0.0,0.0
2010-01-03,84.0,0.0,7.0,0.0,7.0
2010-01-10,68.0,0.0,27.0,0.0,7.0
2010-01-17,53.0,13.0,7.0,0.0,7.0
2010-01-24,72.0,20.0,7.0,0.0,7.0
2010-01-31,79.0,26.0,7.0,0.0,13.0
2010-02-07,54.0,8.0,20.0,0.0,13.0
2010-02-14,48.0,8.0,16.0,0.0,8.0
2010-02-21,98.0,26.0,25.0,0.0,7.0
2010-02-28,51.0,6.0,35.0,0.0,13.0
2010-03-07,13.0,6.0,45.0,0.0,19.0
2010-03-14,25.0,6.0,37.0,0.0,12.0
