Date,anemia,crescimento progressivo das feridas,indisposicao,palidez,perda de peso
2006-04-02,41.0,0.0,0.0,0.0,6.0
2006-04-09,6.0,0.0,0.0,0.0,7.0
2006-04-16,43.0,0.0,0.0,0.0,8.0
2006-04-23,40.0,0.0,0.0,0.0,9.0
2006-04-30,12.0,0.0,0.0,0.0,10.0
2006-05-07,22.0,0.0,0.0,0.0,11.0
2006-05-14,6.0,0.0,0.0,0.0,5.0
2006-05-21,37.0,0.0,0.0,0.0,5.0
2006-05-28,42.0,0.0,0.0,5.0,5.0
2006-06-04,43.0,0.0,0.0,5.0,5.0
2006-06-11,6.0,0.0,0.0,6.0,6.0
2006-06-18,23.0,0.0,0.0,6.0,6.0
2006-06-25,12.0,0.0,0.0,6.0,6.0
2006-07-02,6.0,0.0,0.0,0.0,6.0
2006-07-09,18.0,0.0,0.0,0.0,6.0
2006-07-16,24.0,0.0,0.0,0.0,6.0
2006-07-23,6.0,0.0,0.0,0.0,6.0
2006-07-30,39.0,0.0,0.0,0.0,7.0
2006-08-06,10.0,0.0,0.0,0.0,9.0
2006-08-13,40.0,0.0,0.0,0.0,10.0
2006-08-20,34.0,0.0,0.0,0.0,5.0
2006-08-27,48.0,0.0,0.0,0.0,5.0
2006-09-03,21.0,0.0,0.0,0.0,5.0
2006-09-10,52.0,0.0,0.0,0.0,14.0
2006-09-17,35.0,0.0,0.0,0.0,4.0
2006-09-24,26.0,0.0,0.0,0.0,5.0
2006-10-01,22.0,0.0,0.0,0.0,5.0
2006-10-08,15.0,0.0,0.0,0.0,5.0
2006-10-15,25.0,0.0,0.0,0.0,4.0
2006-10-22,4.0,0.0,0.0,0.0,4.0
2006-10-29,14.0,0.0,0.0,0.0,5.0
2006-11-05,20.0,0.0,0.0,0.0,4.0
2006-11-12,8.0,0.0,0.0,0.0,4.0
2006-11-19,20.0,0.0,0.0,0.0,4.0
2006-11-26,31.0,0.0,0.0,0.0,4.0
2006-12-03,12.0,0.0,0.0,0.0,4.0
2006-12-10,8.0,0.0,0.0,0.0,4.0
2006-12-17,14.0,0.0,0.0,0.0,5.0
2006-12-24,11.0,0.0,0.0,0.0,0.0
2006-12-31,5.0,0.0,0.0,0.0,0.0
2007-01-07,48.0,0.0,0.0,10.0,19.0
